tanggal,komoditas,harga_sebenarnya,prediksi_random_forest,prediksi_xgboost,prediksi_lightgbm,error_random_forest,error_xgboost,error_lightgbm,batas_harga_HET,status_stabilitas,harga_kemarin,harga_3_hari_lalu,harga_7_hari_lalu,harga_14_hari_lalu,rata_rata_7_hari,rata_rata_14_hari,fluktuasi_7_hari,bulan,hari_dalam_minggu
2026-01-15,Ayam BroilerRas,43193,43552.72672963138,43850.395,43562.137836911235,359.7267296313803,657.39453125,369.13783691123535,48359.92279411765,Aman,42926.0,42867.0,45084.0,43560.0,43101.142857142855,43655.07142857143,287.4076249112966,1,3
2026-01-16,Ayam BroilerRas,45241,43817.55555003778,43850.395,43562.137836911235,1423.4444499622186,1390.60546875,1678.8621630887646,48359.92279411765,Aman,43193.0,42841.0,43260.0,44610.0,43384.142857142855,43700.142857142855,864.9420844911041,1,4
2026-01-17,Ayam BroilerRas,42581,43597.63771651496,43300.098,42742.13902039952,1016.6377165149606,719.09765625,161.1390203995179,48359.92279411765,Aman,45241.0,42926.0,43643.0,44293.0,43232.42857142857,43577.857142857145,904.2178677624998,1,5
2026-01-18,Ayam BroilerRas,39350,43315.924613636525,43413.387,43009.44270243033,3965.9246136365255,4063.38671875,3659.4427024303295,48359.92279411765,Aman,42581.0,43193.0,42978.0,43960.0,42714.142857142855,43248.57142857143,1733.6780197575595,1,6
2026-01-19,Ayam BroilerRas,42438,41841.97109653667,43258.76,43143.65826355053,596.0289034633315,820.76171875,705.6582635505329,48359.92279411765,Aman,39350.0,45241.0,42867.0,43710.0,42652.857142857145,43157.71428571428,1734.9560444548715,1,0
2026-01-20,Ayam BroilerRas,42855,43190.94449252,43413.387,43009.44270243033,335.9444925200005,558.38671875,154.44270243032952,48359.92279411765,Aman,42438.0,42581.0,42841.0,43528.0,42654.857142857145,43109.642857142855,1735.2171265263878,1,1
2026-01-21,Ayam BroilerRas,41157,43008.326786572936,43613.316,43205.12713020576,1851.3267865729358,2456.31640625,2048.1271302057576,48359.92279411765,Aman,42855.0,39350.0,42926.0,44278.0,42402.142857142855,42886.71428571428,1816.079883390916,1,2
2026-01-22,Ayam BroilerRas,42814,42877.706256241276,43413.387,43311.06501291824,63.706256241275696,599.38671875,497.0650129182395,48359.92279411765,Aman,41157.0,42438.0,43193.0,45084.0,42348.0,42724.57142857143,1794.088812368743,1,3
2026-01-23,Ayam BroilerRas,43274,41412.73769926385,41958.652,41993.520913398126,1861.2623007361472,1315.34765625,1280.4790866018739,48359.92279411765,Aman,42814.0,42855.0,45241.0,43260.0,42067.0,42725.57142857143,1369.174203671697,1,4
2026-01-24,Ayam BroilerRas,41030,41518.70783812109,41958.652,41637.26772278128,488.70783812108857,928.65234375,607.2677227812819,48359.92279411765,Aman,43274.0,41157.0,42581.0,43643.0,41845.42857142857,42538.92857142857,1397.3393595380885,1,5
2026-01-25,Ayam BroilerRas,42567,42846.40028229539,43413.387,43311.06501291824,279.40028229539166,846.38671875,744.0650129182395,48359.92279411765,Aman,41030.0,42814.0,39350.0,42978.0,42305.0,42509.57142857143,868.9461049647178,1,6
2026-01-26,Ayam BroilerRas,42998,43111.945266594754,43413.387,42578.85410318324,113.94526659475378,415.38671875,419.14589681675716,48359.92279411765,Aman,42567.0,43274.0,42438.0,42867.0,42385.0,42518.92857142857,908.1266431506234,1,0
2026-01-27,Ayam BroilerRas,43614,42884.76974259925,43413.387,42988.971276096585,729.2302574007481,200.61328125,625.0287239034151,48359.92279411765,Aman,42998.0,41030.0,42855.0,42841.0,42493.42857142857,42574.142857142855,1012.8678520489755,1,1
2026-01-28,Ayam BroilerRas,43705,43020.570345198874,43413.387,42665.77666516915,684.4296548011262,291.61328125,1039.223334830851,48359.92279411765,Aman,43614.0,42567.0,41157.0,42926.0,42857.42857142857,42629.78571428572,904.599332511897,1,2
2026-01-29,Ayam BroilerRas,43164,42906.71317544442,43413.387,42665.77666516915,257.2868245555801,249.38671875,498.22333483085094,48359.92279411765,Aman,43705.0,42998.0,42814.0,43193.0,42907.42857142857,42627.71428571428,911.4457118854106,1,3
2026-01-30,Ayam BroilerRas,42266,42509.07257318028,43413.387,42619.40819505257,243.07257318028132,1147.38671875,353.4081950525724,48359.92279411765,Aman,43164.0,43614.0,43274.0,45241.0,42763.42857142857,42415.21428571428,923.4269249455007,1,4
2026-01-31,Ayam BroilerRas,42808,42852.84036983932,43850.395,43172.10332953348,44.8403698393231,1042.39453125,364.10332953347825,48359.92279411765,Aman,42266.0,43705.0,41030.0,42581.0,43017.42857142857,42431.42857142857,526.2926489900549,1,5
2026-02-01,Ayam BroilerRas,43557,43810.717117879816,43850.395,43562.137836911235,253.71711787981621,293.39453125,5.137836911235354,48359.92279411765,Aman,42808.0,43164.0,42567.0,39350.0,43158.857142857145,42731.92857142857,518.0316684565008,2,6
2026-02-02,Ayam BroilerRas,43182,43499.02801958589,43850.395,43287.09565300963,317.0280195858868,668.39453125,105.09565300963004,48359.92279411765,Aman,43557.0,42266.0,42998.0,42438.0,43185.142857142855,42785.07142857143,513.154436978277,2,0
2026-02-03,Ayam BroilerRas,43601,43766.707288727426,43850.395,43562.137836911235,165.7072887274262,249.39453125,38.862163088764646,48359.92279411765,Aman,43182.0,42808.0,43614.0,42855.0,43183.28571428572,42838.357142857145,511.36409543030544,2,1
2026-02-04,Ayam BroilerRas,43632,43255.04816882425,43850.395,42897.06114563187,376.95183117574925,218.39453125,734.9388543681271,48359.92279411765,Aman,43601.0,43557.0,43705.0,41157.0,43172.857142857145,43015.142857142855,499.5592819581003,2,2
2026-02-05,Ayam BroilerRas,43675,43227.16978735707,43850.395,43287.09565300963,447.8302126429335,175.39453125,387.90434699036996,48359.92279411765,Aman,43632.0,43182.0,43164.0,42814.0,43245.857142857145,43076.642857142855,534.1851828007079,2,3
2026-02-06,Ayam BroilerRas,44448,44083.79857255432,43850.395,43341.49131645333,364.2014274456815,597.60546875,1106.5086835466718,48359.92279411765,Aman,43675.0,43601.0,42266.0,43274.0,43557.57142857143,43160.5,502.8236460705008,2,4
2026-02-07,Ayam BroilerRas,43287,43496.5927438526,44405.094,43732.00602670946,209.59274385259778,1118.09375,445.00602670945955,48359.92279411765,Aman,44448.0,43632.0,42808.0,41030.0,43626.0,43321.71428571428,407.3417893285019,2,5
2026-02-08,Ayam BroilerRas,43063,44041.667288416604,43850.395,43685.15735371451,978.6672884166037,787.39453125,622.1573537145086,48359.92279411765,Aman,43287.0,43675.0,43557.0,42567.0,43555.42857142857,43357.142857142855,460.5991956654208,2,6
2026-02-09,Ayam BroilerRas,42486,43324.70657108339,43850.395,43172.10332953348,838.7065710833922,1364.39453125,686.1033295334782,48359.92279411765,Aman,43063.0,44448.0,43182.0,42998.0,43456.0,43320.57142857143,606.6212437207823,2,0
2026-02-10,Ayam BroilerRas,43905,44021.10678539067,43850.395,43172.10332953348,116.10678539067158,54.60546875,732.8966704665218,48359.92279411765,Aman,42486.0,43287.0,43601.0,43614.0,43499.42857142857,43341.357142857145,629.1938909278816,2,1
2026-02-11,Ayam BroilerRas,44823,44529.46720631355,44405.094,44221.57446411813,293.5327936864487,417.90625,601.42553588187,48359.92279411765,Aman,43905.0,43063.0,43632.0,43705.0,43669.57142857143,43421.21428571428,806.9423476190627,2,2
2026-02-12,Ayam BroilerRas,44833,44158.78699824438,45075.543,44073.38759735884,674.2130017556192,242.54296875,759.6124026411635,48359.92279411765,Aman,44823.0,42486.0,43675.0,43164.0,43835.0,43540.42857142857,919.1396339331018,2,3
2026-02-13,Ayam BroilerRas,45277,43903.35365825803,45075.543,43732.00602670946,1373.6463417419727,201.45703125,1544.9939732905405,48359.92279411765,Aman,44833.0,43905.0,44448.0,42266.0,43953.42857142857,43755.5,1054.697722437236,2,4
2026-02-14,Ayam BroilerRas,45622,43251.33768787452,44875.785,43400.884391929765,2370.6623121254815,746.21484375,2221.115608070235,48359.92279411765,Aman,45277.0,44823.0,43287.0,42808.0,44287.0,43956.5,1171.5686066125202,2,5
2026-02-15,Ayam BroilerRas,45261,43599.03086446411,45602.547,44217.457487954896,1661.9691355358882,341.546875,1043.5425120451036,48359.92279411765,Aman,45622.0,44833.0,43063.0,43557.0,44601.0,44078.21428571428,1079.7967401321403,2,6
2026-02-16,Ayam BroilerRas,44133,44775.20773463593,44591.04,44217.457487954896,642.2077346359292,458.0390625,84.45748795489635,48359.92279411765,Aman,45261.0,45277.0,42486.0,43182.0,44836.28571428572,44146.142857142855,626.3717517804934,2,0
2026-02-17,Ayam BroilerRas,44750,45509.09126837865,45169.0,45066.25274077639,759.0912683786519,419.0,316.2527407763919,48359.92279411765,Aman,44133.0,45622.0,43905.0,43601.0,44957.0,44228.21428571428,481.69803819404535,2,1
2026-02-18,Ayam BroilerRas,45695,45309.638874429445,45759.176,45119.546212866095,385.3611255705546,64.17578125,575.4537871339053,48359.92279411765,Aman,44750.0,45261.0,44823.0,43632.0,45081.57142857143,44375.57142857143,549.281305326282,2,2
2026-02-19,Ayam BroilerRas,46506,45637.56391048533,46090.504,45137.012753210285,868.4360895146674,415.49609375,1368.9872467897148,48359.92279411765,Aman,45695.0,44133.0,44833.0,43675.0,45320.57142857143,44577.78571428572,750.2912450381815,2,3
2026-02-20,Ayam BroilerRas,45295,45300.8622987914,46090.504,44663.736257929304,5.8622987913986435,795.50390625,631.263742070696,48359.92279411765,Aman,46506.0,44750.0,45277.0,44448.0,45323.142857142855,44638.28571428572,750.147858441122,2,4
2026-02-21,Ayam BroilerRas,45642,45852.9227257158,45070.418,44710.195064707004,210.92272571579815,571.58203125,931.8049352929957,48359.92279411765,Aman,45295.0,45695.0,45622.0,43287.0,45326.0,44806.5,751.5126967213034,2,5
2026-02-22,Ayam BroilerRas,47267,44889.5348022216,45292.75,44666.163401670005,2377.4651977784015,1974.25,2600.8365983299955,48359.92279411765,Aman,45642.0,46506.0,45261.0,43063.0,45612.57142857143,45106.78571428572,1046.9815116391885,2,6
2026-02-23,Ayam BroilerRas,45368,46034.44633669346,45876.64,45583.873257598185,666.4463366934579,508.640625,215.87325759818486,48359.92279411765,Aman,47267.0,45295.0,44133.0,42486.0,45789.0,45312.642857142855,839.6245192544869,2,0
2026-02-24,Ayam BroilerRas,45273,46008.47856032139,45876.64,45630.332064375885,735.4785603213895,603.640625,357.33206437588524,48359.92279411765,Aman,45368.0,45642.0,44750.0,43905.0,45863.71428571428,45410.357142857145,750.2749972034029,2,1
2026-02-25,Ayam BroilerRas,43847,45435.71767400964,45292.75,44666.163401670005,1588.7176740096402,1445.75,819.1634016700045,48359.92279411765,Aman,45273.0,47267.0,45695.0,44823.0,45599.71428571428,45340.642857142855,1074.5755308160353,2,2
2026-02-26,Ayam BroilerRas,45835,45731.02070617073,45981.508,45407.73307331149,103.97929382926668,146.5078125,427.2669266885132,48359.92279411765,Aman,43847.0,45368.0,46506.0,44833.0,45503.857142857145,45412.21428571428,1008.1303534383844,2,3
2026-02-27,Ayam BroilerRas,45290,45412.52449854754,45292.75,44710.195064707004,122.5244985475365,2.75,579.8049352929957,48359.92279411765,Aman,45835.0,45273.0,45295.0,45277.0,45503.142857142855,45413.142857142855,1008.3047536288165,2,4
